country_code_2,country_code_3,country_name,country_flag
BG,BGR,Bulgaria,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#496e2d"" d=""m0 166.9 258-31.7 254 31.7v178l-251.4 41.3L0 344.9z""/><path fill=""#eee"" d=""M0 0h512v166.9H0z""/><path fill=""#d80027"" d=""M0 344.9h512V512H0z""/></g></svg>"
BH,BHR,Bahrain,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""M0 0h182.5l88.1 268.5-88 243.5H0z""/><path fill=""#d80027"" d=""m182.5 0-82.3 42.7 82.3 42.7-82.3 42.6 82.3 42.7-82.3 42.7 82.3 42.6-82.3 42.7 82.3 42.7-82.3 42.6 82.3 42.7-82.3 42.7 82.3 42.6H512V0H182.5z""/></g></svg>"
BI,BDI,Burundi,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""M0 0h47.2l207.5 30L464.8 0H512v47.2L477.4 256 512 464.8V512h-47.2l-209.1-35.8L47.2 512H0v-47.2l32.8-202.7L0 47.2z""/><path fill=""#d80027"" d=""M47.2 0 256 208.8 464.8 0H47.2zM256 303.2 47.2 512h417.6L256 303.2z""/><path fill=""#6da544"" d=""M0 47.2v417.6L208.8 256 0 47.2zm512 0L303.2 256 512 464.8V47.2z""/><circle cx=""256"" cy=""256"" r=""111.3"" fill=""#eee""/><path fill=""#d80027"" d=""m256 178 9.6 16.8H285l-9.6 16.7 9.6 16.7h-19.3l-9.6 16.7-9.6-16.7H227l9.6-16.7-9.6-16.7h19.3zm-49 78 9.6 16.7H236l-9.6 16.7 9.6 16.7h-19.3l-9.6 16.7-9.6-16.7H178l9.6-16.7-9.6-16.7h19.3zm98 0 9.6 16.7H334l-9.6 16.7 9.6 16.7h-19.3l-9.6 16.7-9.6-16.7H276l9.6-16.7-9.6-16.7h19.3z""/></g></svg>"
BJ,BEN,Benin,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#6da544"" d=""M0 0h189.2l54 257.6-54 254.4H0z""/><path fill=""#ffda44"" d=""M189.2 0H512v256l-159 53.5L189.1 256z""/><path fill=""#d80027"" d=""M189.2 256H512v256H189.2z""/></g></svg>"
BL,BLM,St. Barthélemy,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""M0 0h512v512H0z""/><path fill=""#acabb1"" d=""M167 178a28 28 0 0 0-28 28H55a28 28 0 0 0 28 28 28 28 0 0 0 28 28 28 28 0 0 0 28 28h234a28 28 0 0 0 28-28 28 28 0 0 0 28-28 28 28 0 0 0 28-28h-84a28 28 0 0 0-28-28z""/><path fill=""#ffda44"" d=""M123 357h44v44h-44zm222 0h44v44h-44zm-178 11h178v44H167zm67-268v33.5L223 145l-12-6v-17h-44v56l89 14 89-14v-56h-44v17l-12 6-11-11.5V100z""/><path fill=""#0052b4"" d=""M167 178v112c0 68 89 88.5 89 88.5s89-20.4 89-88.5V178z""/><path fill=""#d80027"" d=""M167 222.1h178v69H167z""/></g></svg>"
BM,BMU,Bermuda,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M256 0h256v512H0V256z""/><path fill=""#eee"" d=""M0 0h33.4l31.8 16.4 35-16.4H256v133.6l-9.3 33.7 9.3 41.5V256h-47.2l-39.3-7-35.9 7.1L0 256V100.2l15.4-34.5L0 33.4z""/><path fill=""#496e2d"" d=""M445.2 256.1zm-155.8 0z""/><path fill=""#d80027"" d=""m267 235.5-102-102h-31.4L267 267z""/><path fill=""#d80027"" d=""M33.4 0v33.4H0v66.8h33.4v170.6h66.8V100.2h170.2V33.4H100.2V0z""/><path fill=""#0052b4"" d=""M180.8 133.6H256v75.2zm-47.2 47.2v75.3l75.2-.1z""/><path fill=""#eee"" d=""M289.4 133.6V256c0 59.6 155.8 59.6 155.8 0V133.6z""/><path fill=""#6da544"" d=""M289.4 256c0 59.6 77.9 78 77.9 78s78-18.4 78-78h-156z""/><path fill=""#a2001d"" d=""m367.3 207-36.2 15.6V256l36.2 22.3 36.2-22.3v-33.4z""/><path fill=""#338af3"" d=""M331.1 189.2h72.4v33.4H331z""/></g></svg>"
BN,BRN,Brunei Darussalam,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#ffda44"" d=""M0 0h512v326.7l-19.3 76.5 19.3 77.7V512H0V185.2l21.4-76.5L0 31z""/><path fill=""#eee"" d=""M0 31v117.2l512 295.7V326.7L0 31z""/><path fill=""#333"" d=""M0 108.2v77L512 481v-77L0 108.2z""/><g fill=""#d80027""><path d=""M328.3 228.2a72.3 72.3 0 1 1-136-34.4 89 89 0 1 0 127.3 0 72 72 0 0 1 8.7 34.4z""/><path d=""M239.3 144.7h33.4v167h-33.4z""/><path d=""M311.6 178H200.4c0 7.8 6.6 14 14.3 14h-.4a14 14 0 0 0 13.9 14 14 14 0 0 0 13.9 13.8h27.8a14 14 0 0 0 14-13.9 14 14 0 0 0 13.8-13.9h-.4c7.6 0 14.3-6.2 14.3-13.9zM178.1 322.9h155.8v33.4H178.1z""/><path d=""M289.4 333.9h66.8v33.4h-66.8zm-133.6 0h66.8v33.4h-66.8z""/></g></g></svg>"
BO,BOL,Bolivia,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#ffda44"" d=""m0 167 252.9-29.3L512 167v178l-255.7 25.7L0 345z""/><path fill=""#d80027"" d=""M0 0h512v167H0z""/><path fill=""#6da544"" d=""M0 345h512v167H0z""/></g></svg>"
BR,BRA,Brazil,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#6da544"" d=""M0 0h512v512H0z""/><path fill=""#ffda44"" d=""M256 100.2 467.5 256 256 411.8 44.5 256z""/><path fill=""#eee"" d=""M174.2 221a87 87 0 0 0-7.2 36.3l162 49.8a88.5 88.5 0 0 0 14.4-34c-40.6-65.3-119.7-80.3-169.1-52z""/><path fill=""#0052b4"" d=""M255.7 167a89 89 0 0 0-41.9 10.6 89 89 0 0 0-39.6 43.4 181.7 181.7 0 0 1 169.1 52.2 89 89 0 0 0-9-59.4 89 89 0 0 0-78.6-46.8zM212 250.5a149 149 0 0 0-45 6.8 89 89 0 0 0 10.5 40.9 89 89 0 0 0 120.6 36.2 89 89 0 0 0 30.7-27.3A151 151 0 0 0 212 250.5z""/></g></svg>"
BS,BHS,Bahamas,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#338af3"" d=""M0 0h512v167l-37.4 89 37.4 89v167H0l49.6-252z""/><path fill=""#ffda44"" d=""M108.3 167H512v178H108.3z""/><path fill=""#333"" d=""M0 0v512l256-256L0 0z""/></g></svg>"
