locale,type,week_zero,week_one,week_two,week_few,week_many,week_other,day_zero,day_one,day_two,day_few,day_many,day_other,hour_zero,hour_one,hour_two,hour_few,hour_many,hour_other,minute_zero,minute_one,minute_two,minute_few,minute_many,minute_other,second_zero,second_one,second_two,second_few,second_many,second_other
ar-EH,narrow,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} س,{0} س,{0} س,{0} س,{0} س,{0} س,{0} د,{0} د,{0} د,{0} د,{0} د,{0} د,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث
ar-ER,wide,{0} أسبوع,أسبوع,أسبوعان,{0} أسابيع,{0} أسبوعًا,{0} أسبوع,{0} يوم,يوم,يومان,{0} أيام,{0} يومًا,{0} يوم,{0} ساعة,ساعة,ساعتان,{0} ساعات,{0} ساعة,{0} ساعة,{0} دقيقة,دقيقة,دقيقتان,{0} دقائق,{0} دقيقة,{0} دقيقة,{0} ثانية,ثانية,ثانيتان,{0} ثوان,{0} ثانية,{0} ثانية
ar-ER,narrow,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} س,{0} س,{0} س,{0} س,{0} س,{0} س,{0} د,{0} د,{0} د,{0} د,{0} د,{0} د,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث
ar-IL,wide,{0} أسبوع,أسبوع,أسبوعان,{0} أسابيع,{0} أسبوعًا,{0} أسبوع,{0} يوم,يوم,يومان,{0} أيام,{0} يومًا,{0} يوم,{0} ساعة,ساعة,ساعتان,{0} ساعات,{0} ساعة,{0} ساعة,{0} دقيقة,دقيقة,دقيقتان,{0} دقائق,{0} دقيقة,{0} دقيقة,{0} ثانية,ثانية,ثانيتان,{0} ثوان,{0} ثانية,{0} ثانية
ar-IL,narrow,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} س,{0} س,{0} س,{0} س,{0} س,{0} س,{0} د,{0} د,{0} د,{0} د,{0} د,{0} د,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث
ar-IQ,wide,{0} أسبوع,أسبوع,أسبوعان,{0} أسابيع,{0} أسبوعًا,{0} أسبوع,{0} يوم,يوم,يومان,{0} أيام,{0} يومًا,{0} يوم,{0} ساعة,ساعة,ساعتان,{0} ساعات,{0} ساعة,{0} ساعة,{0} دقيقة,دقيقة,دقيقتان,{0} دقائق,{0} دقيقة,{0} دقيقة,{0} ثانية,ثانية,ثانيتان,{0} ثوان,{0} ثانية,{0} ثانية
ar-IQ,narrow,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} س,{0} س,{0} س,{0} س,{0} س,{0} س,{0} د,{0} د,{0} د,{0} د,{0} د,{0} د,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث
ar-JO,wide,{0} أسبوع,أسبوع,أسبوعان,{0} أسابيع,{0} أسبوعًا,{0} أسبوع,{0} يوم,يوم,يومان,{0} أيام,{0} يومًا,{0} يوم,{0} ساعة,ساعة,ساعتان,{0} ساعات,{0} ساعة,{0} ساعة,{0} دقيقة,دقيقة,دقيقتان,{0} دقائق,{0} دقيقة,{0} دقيقة,{0} ثانية,ثانية,ثانيتان,{0} ثوان,{0} ثانية,{0} ثانية
ar-JO,narrow,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} أ,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} ي,{0} س,{0} س,{0} س,{0} س,{0} س,{0} س,{0} د,{0} د,{0} د,{0} د,{0} د,{0} د,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث,{0} ث
ar-KM,wide,{0} أسبوع,أسبوع,أسبوعان,{0} أسابيع,{0} أسبوعًا,{0} أسبوع,{0} يوم,يوم,يومان,{0} أيام,{0} يومًا,{0} يوم,{0} ساعة,ساعة,ساعتان,{0} ساعات,{0} ساعة,{0} ساعة,{0} دقيقة,دقيقة,دقيقتان,{0} دقائق,{0} دقيقة,{0} دقيقة,{0} ثانية,ثانية,ثانيتان,{0} ثوان,{0} ثانية,{0} ثانية
