locale,type,week_zero,week_one,week_two,week_few,week_many,week_other,day_zero,day_one,day_two,day_few,day_many,day_other,hour_zero,hour_one,hour_two,hour_few,hour_many,hour_other,minute_zero,minute_one,minute_two,minute_few,minute_many,minute_other,second_zero,second_one,second_two,second_few,second_many,second_other
bas,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bas,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
be,wide,,{0} тыдзень,,{0} тыдні,{0} тыдняў,{0} тыдня,,{0} суткі,,{0} сутак,{0} сутак,{0} сутак,,{0} гадзіна,,{0} гадзіны,{0} гадзін,{0} гадзіны,,{0} хвіліна,,{0} хвіліны,{0} хвілін,{0} хвіліны,,{0} секунда,,{0} секунды,{0} секунд,{0} секунды
be,narrow,,{0} тыдз,,{0} тыдз,{0} тыдз,{0} тыдз,,{0} сут,,{0} сут,{0} сут,{0} сут,,{0} гадз,,{0} гадз,{0} гадз,{0} гадз,,{0} хв,,{0} хв,{0} хв,{0} хв,,{0} с,,{0} с,{0} с,{0} с
be-tarask,wide,,{0} тыдзень,,{0} тыдні,{0} тыдняў,{0} тыдня,,{0} суткі,,{0} сутак,{0} сутак,{0} сутак,,{0} гадзіна,,{0} гадзіны,{0} гадзін,{0} гадзіны,,{0} хвіліна,,{0} хвіліны,{0} хвілін,{0} хвіліны,,{0} секунда,,{0} секунды,{0} секунд,{0} секунды
be-tarask,narrow,,{0} тыдз,,{0} тыдз,{0} тыдз,{0} тыдз,,{0} сут,,{0} сут,{0} сут,{0} сут,,{0} гадз,,{0} гадз,{0} гадз,{0} гадз,,{0} хв,,{0} хв,{0} хв,{0} хв,,{0} с,,{0} с,{0} с,{0} с
bem,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bem,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bez,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bez,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bg,wide,,{0} седмица,,,,{0} седмици,,{0} ден,,,,{0} дни,,{0} час,,,,{0} часа,,{0} минута,,,,{0} минути,,{0} секунда,,,,{0} секунди
bg,narrow,,{0} седм.,,,,{0} седм.,,{0} д,,,,{0} д,,{0} ч,,,,{0} ч,,{0} мин,,,,{0} мин,,{0} с,,,,{0} с
bm,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bm,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bn,wide,,{0} সপ্তাহ,,,,{0} সপ্তাহ,,{0} দিন,,,,{0} দিন,,{0} ঘণ্টা,,,,{0} ঘণ্টা,,{0} মিনিট,,,,{0} মিনিট,,{0} সেকেন্ড,,,,{0} সেকেন্ড
bn,narrow,,{0} সপ্তাহ,,,,{0} সপ্তাহ,,{0} দিন,,,,{0} দিন,,{0} ঘঃ,,,,{0} ঘঃ,,{0} মিঃ,,,,{0} মিঃ,,{0} সেঃ,,,,{0} সেঃ
bn-IN,wide,,{0} সপ্তাহ,,,,{0} সপ্তাহ,,{0} দিন,,,,{0} দিন,,{0} ঘণ্টা,,,,{0} ঘণ্টা,,{0} মিনিট,,,,{0} মিনিট,,{0} সেকেন্ড,,,,{0} সেকেন্ড
bn-IN,narrow,,{0} সপ্তাহ,,,,{0} সপ্তাহ,,{0} দিন,,,,{0} দিন,,{0} ঘঃ,,,,{0} ঘঃ,,{0} মিঃ,,,,{0} মিঃ,,{0} সেঃ,,,,{0} সেঃ
bo,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bo,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bo-IN,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bo-IN,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
br,wide,,{0} sizhun,{0} sizhun,{0} sizhun,{0} a sizhunioù,{0} sizhun,,{0} deiz,{0} zeiz,{0} deiz,{0} a zeizioù,{0} deiz,,{0} eur,{0} eur,{0} eur,{0} a eurioù,{0} eur,,{0} munut,{0} vunut,{0} munut,{0} a vunutoù,{0} munut,,{0} eilenn,{0} eilenn,{0} eilenn,{0} a eilennoù,{0} eilenn
br,narrow,,{0}sizh.,{0}sizh.,{0}sizh.,{0}sizh.,{0}sizh.,,{0}d,{0}d,{0}d,{0}d,{0}d,,{0}h,{0}h,{0}h,{0}h,{0}h,,{0}min,{0}min,{0}min,{0}min,{0}min,,{0}s,{0}s,{0}s,{0}s,{0}s
brx,wide,,{0} सप्ताह,,,,{0} सप्ताह,,{0} सान,,,,{0} सान,,{0} रिंगा,,,,{0} घंटे,,{0} मिन.,,,,{0} मिन.,,{0} सेकं.,,,,{0} सेकं.
brx,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
bs,wide,,{0} sedmica,,{0} sedmice,,{0} sedmica,,{0} dan,,{0} dana,,{0} dana,,{0} sat,,{0} sata,,{0} sati,,{0} minuta,,{0} minute,,{0} minuta,,{0} sekunda,,{0} sekunde,,{0} sekundi
bs,narrow,,{0} sedm.,,{0} sedm.,,{0} sedm.,,{0} d.,,{0} d.,,{0} d.,,,,,,{0} h,,{0} m,,{0} m,,{0} m,,{0} s,,{0} s,,{0} s
bs-Cyrl,wide,,{0} седмица,,{0} седмице,,{0} седмица,,{0} дан,,{0} дана,,{0} дана,,{0} сат,,{0} сата,,{0} сати,,{0} минут,,{0} минута,,{0} минута,,{0} секунда,,{0} секунде,,{0} секунди
bs-Cyrl,narrow,,{0} сед.,,{0} сед.,,{0} сед.,,{0} дан,,{0} дана,,{0} дан,,{0} сат,,{0} сата,,{0} сати,,{0} мин.,,{0} мин.,,{0} мин.,,{0} сек.,,{0} сек.,,{0} сек.
bs-Latn,wide,,{0} sedmica,,{0} sedmice,,{0} sedmica,,{0} dan,,{0} dana,,{0} dana,,{0} sat,,{0} sata,,{0} sati,,{0} minuta,,{0} minute,,{0} minuta,,{0} sekunda,,{0} sekunde,,{0} sekundi
bs-Latn,narrow,,{0} sedm.,,{0} sedm.,,{0} sedm.,,{0} d.,,{0} d.,,{0} d.,,,,,,{0} h,,{0} m,,{0} m,,{0} m,,{0} s,,{0} s,,{0} s
ca,wide,,{0} setmana,,,,{0} setmanes,,{0} dia,,,,{0} dies,,{0} hora,,,,{0} hores,,{0} minut,,,,{0} minuts,,{0} segon,,,,{0} segons
ca,narrow,,{0} setm.,,,,{0} setm.,,{0} d,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ca-AD,wide,,{0} setmana,,,,{0} setmanes,,{0} dia,,,,{0} dies,,{0} hora,,,,{0} hores,,{0} minut,,,,{0} minuts,,{0} segon,,,,{0} segons
ca-AD,narrow,,{0} setm.,,,,{0} setm.,,{0} d,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ca-ES-valencia,wide,,{0} setmana,,,,{0} setmanes,,{0} dia,,,,{0} dies,,{0} hora,,,,{0} hores,,{0} minut,,,,{0} minuts,,{0} segon,,,,{0} segons
ca-ES-valencia,narrow,,{0} setm.,,,,{0} setm.,,{0} d,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ca-FR,wide,,{0} setmana,,,,{0} setmanes,,{0} dia,,,,{0} dies,,{0} hora,,,,{0} hores,,{0} minut,,,,{0} minuts,,{0} segon,,,,{0} segons
ca-FR,narrow,,{0} setm.,,,,{0} setm.,,{0} d,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ca-IT,wide,,{0} setmana,,,,{0} setmanes,,{0} dia,,,,{0} dies,,{0} hora,,,,{0} hores,,{0} minut,,,,{0} minuts,,{0} segon,,,,{0} segons
ca-IT,narrow,,{0} setm.,,,,{0} setm.,,{0} d,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ccp,wide,,,,,,{0} 𑄥𑄛𑄴𑄖,,,,,,{0} 𑄘𑄨𑄚𑄴,,{0} 𑄊𑄧𑄚𑄴𑄘,,,,{0} 𑄊𑄧𑄚𑄴𑄘,,,,,,{0} 𑄟𑄨𑄚𑄨𑄖𑄴,,,,,,{0} 𑄥𑄬𑄇𑄬𑄚𑄳𑄓𑄴
ccp,narrow,,,,,,{0} 𑄥𑄛𑄴𑄖,,,,,,{0} 𑄘𑄨𑄚𑄴,,{0} 𑄊𑄂,,,,{0} 𑄊𑄂,,{0} 𑄟𑄨𑄂,,,,{0} 𑄟𑄨𑄂,,{0} 𑄥𑄬𑄂,,,,{0} 𑄥𑄬𑄂
ccp-IN,wide,,,,,,{0} 𑄥𑄛𑄴𑄖,,,,,,{0} 𑄘𑄨𑄚𑄴,,{0} 𑄊𑄧𑄚𑄴𑄘,,,,{0} 𑄊𑄧𑄚𑄴𑄘,,,,,,{0} 𑄟𑄨𑄚𑄨𑄖𑄴,,,,,,{0} 𑄥𑄬𑄇𑄬𑄚𑄳𑄓𑄴
ccp-IN,narrow,,,,,,{0} 𑄥𑄛𑄴𑄖,,,,,,{0} 𑄘𑄨𑄚𑄴,,{0} 𑄊𑄂,,,,{0} 𑄊𑄂,,{0} 𑄟𑄨𑄂,,,,{0} 𑄟𑄨𑄂,,{0} 𑄥𑄬𑄂,,,,{0} 𑄥𑄬𑄂
ce,wide,,{0} кӀира,,,,{0} кӀира,,{0} де,,,,{0} де,,{0} сахьт,,,,{0} сахьт,,{0} минот,,,,{0} минот,,{0} секунд,,,,{0} секунд
ce,narrow,,{0} кӀ.,,,,{0} кӀ.,,{0} д.,,,,{0} д.,,{0} сахь.,,,,{0} сахь.,,{0} мин,,,,{0} мин,,{0} с,,,,{0} с
ceb,wide,,{0} ka semana,,,,{0} ka mga semana,,{0} ka adlaw,,,,{0} ka mga adlaw,,{0} ka oras,,,,{0} ka mga oras,,{0} ka minuto,,,,{0} ka mga minuto,,{0} ka segundo,,,,{0} ka mga segundo
ceb,narrow,,{0} semana,,,,{0}w,,{0} adlaw,,,,{0} adlaw,,{0} ka oras,,,,{0} ka oras,,{0} minuto,,,,{0} minuto,,{0}segundo,,,,{0}segundo
cgg,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
cgg,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
chr,wide,,{0} ᏒᎾᏙᏓᏆᏍᏗ,,,,{0} ᎢᏳᎾᏙᏓᏆᏍᏗ,,{0} ᎢᎦ,,,,{0} ᎯᎸᏍᎩ ᏧᏒᎯᏓ,,{0} ᏑᏟᎶᏓ,,,,{0} ᎢᏳᏟᎶᏓ,,{0} ᎢᏯᏔᏬᏍᏔᏅ,,,,{0} ᎢᏯᏔᏬᏍᏔᏅ,,{0} ᎠᏎᏢ,,,,{0} ᏗᏎᏢ
chr,narrow,,{0}Ꮢ,,,,{0}Ꮢ,,{0}Ꭲ,,,,{0}Ꭲ,,{0}Ꮡ,,,,{0}Ꮡ,,{0}Ꭲ,,,,{0}Ꭲ,,{0}ᎠᏎ,,,,{0}ᎠᏎ
ckb,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ckb,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ckb-IR,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ckb-IR,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
cs,wide,,{0} týden,,{0} týdny,{0} týdne,{0} týdnů,,{0} den,,{0} dny,{0} dne,{0} dnů,,{0} hodina,,{0} hodiny,{0} hodiny,{0} hodin,,{0} minuta,,{0} minuty,{0} minuty,{0} minut,,{0} sekunda,,{0} sekundy,{0} sekundy,{0} sekund
cs,narrow,,{0} t.,,{0} t.,{0} t.,{0} t.,,{0} d.,,{0} d.,{0} d.,{0} d.,,,,,,{0} h,,{0} m,,{0} m,{0} m,{0} m,,,,,,{0} s
cy,wide,{0} wythnos,{0} wythnos,{0} wythnos,{0} wythnos,{0} wythnos,{0} wythnos,{0} diwrnod,{0} diwrnod,{0} ddiwrnod,{0} diwrnod,{0} diwrnod,{0} diwrnod,{0} awr,{0} awr,{0} awr,{0} awr,{0} awr,{0} awr,{0} munud,{0} munud,{0} funud,{0} munud,{0} munud,{0} munud,{0} eiliad,{0} eiliad,{0} eiliad,{0} eiliad,{0} eiliad,{0} eiliad
cy,narrow,{0} ws,{0}w,{0} ws,{0} ws,{0} ws,{0}w,{0}d,{0}d,{0}d,{0}d,{0}d,{0}d,{0} awr,{0} awr,{0} awr,{0} awr,{0} awr,{0} awr,{0}mun,{0}mun,{0}mun,{0}mun,{0}mun,{0}mun,{0} eil,{0} eil,{0} eil,{0} eil,{0} eil,{0} eil
da,wide,,{0} uge,,,,{0} uger,,{0} dag,,,,{0} dage,,{0} time,,,,{0} timer,,{0} minut,,,,{0} minutter,,{0} sekund,,,,{0} sekunder
da,narrow,,{0} u,,,,{0} u,,{0} d,,,,{0} d,,{0} t,,,,{0} t,,{0} m,,,,{0} m,,{0} s,,,,{0} s
da-GL,wide,,{0} uge,,,,{0} uger,,{0} dag,,,,{0} dage,,{0} time,,,,{0} timer,,{0} minut,,,,{0} minutter,,{0} sekund,,,,{0} sekunder
da-GL,narrow,,{0} u,,,,{0} u,,{0} d,,,,{0} d,,{0} t,,,,{0} t,,{0} m,,,,{0} m,,{0} s,,,,{0} s
dav,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
dav,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
de,wide,,{0} Woche,,,,{0} Wochen,,{0} Tag,,,,{0} Tage,,{0} Stunde,,,,{0} Stunden,,{0} Minute,,,,{0} Minuten,,{0} Sekunde,,,,{0} Sekunden
de,narrow,,{0} W,,,,{0} W,,{0} T,,,,{0} T,,{0}h,,,,{0}h,,{0} Min.,,,,{0} Min.,,{0} Sek.,,,,{0} Sek.
de-AT,wide,,{0} Woche,,,,{0} Wochen,,{0} Tag,,,,{0} Tage,,{0} Stunde,,,,{0} Stunden,,{0} Minute,,,,{0} Minuten,,{0} Sekunde,,,,{0} Sekunden
de-AT,narrow,,{0} W,,,,{0} W,,{0} T,,,,{0} T,,{0}h,,,,{0}h,,{0} Min.,,,,{0} Min.,,{0} Sek.,,,,{0} Sek.
de-BE,wide,,{0} Woche,,,,{0} Wochen,,{0} Tag,,,,{0} Tage,,{0} Stunde,,,,{0} Stunden,,{0} Minute,,,,{0} Minuten,,{0} Sekunde,,,,{0} Sekunden
de-BE,narrow,,{0} W,,,,{0} W,,{0} T,,,,{0} T,,{0}h,,,,{0}h,,{0} Min.,,,,{0} Min.,,{0} Sek.,,,,{0} Sek.
de-CH,wide,,{0} Woche,,,,{0} Wochen,,{0} Tag,,,,{0} Tage,,{0} Stunde,,,,{0} Stunden,,{0} Minute,,,,{0} Minuten,,{0} Sekunde,,,,{0} Sekunden
de-CH,narrow,,{0} W,,,,{0} W,,{0} T,,,,{0} T,,{0}h,,,,{0}h,,{0} Min.,,,,{0} Min.,,{0} Sek.,,,,{0} Sek.
de-IT,wide,,{0} Woche,,,,{0} Wochen,,{0} Tag,,,,{0} Tage,,{0} Stunde,,,,{0} Stunden,,{0} Minute,,,,{0} Minuten,,{0} Sekunde,,,,{0} Sekunden
de-IT,narrow,,{0} W,,,,{0} W,,{0} T,,,,{0} T,,{0}h,,,,{0}h,,{0} Min.,,,,{0} Min.,,{0} Sek.,,,,{0} Sek.
de-LI,wide,,{0} Woche,,,,{0} Wochen,,{0} Tag,,,,{0} Tage,,{0} Stunde,,,,{0} Stunden,,{0} Minute,,,,{0} Minuten,,{0} Sekunde,,,,{0} Sekunden
de-LI,narrow,,{0} W,,,,{0} W,,{0} T,,,,{0} T,,{0}h,,,,{0}h,,{0} Min.,,,,{0} Min.,,{0} Sek.,,,,{0} Sek.
de-LU,wide,,{0} Woche,,,,{0} Wochen,,{0} Tag,,,,{0} Tage,,{0} Stunde,,,,{0} Stunden,,{0} Minute,,,,{0} Minuten,,{0} Sekunde,,,,{0} Sekunden
de-LU,narrow,,{0} W,,,,{0} W,,{0} T,,,,{0} T,,{0}h,,,,{0}h,,{0} Min.,,,,{0} Min.,,{0} Sek.,,,,{0} Sek.
dje,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
dje,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
doi,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
doi,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
dsb,wide,,{0} tyźeń,{0} tyźenja,{0} tyźenje,,{0} tyźenjow,,{0} źeń,{0} dnja,{0} dny,,{0} dnjow,,{0} góźina,{0} góźinje,{0} góźiny,,{0} góźinow,,{0} minuta,{0} minuśe,{0} minuty,,{0} minutow,,{0} sekunda,{0} sekunźe,{0} sekundy,,{0} sekundow
dsb,narrow,,{0} tyź.,{0} tyź.,{0} tyź.,,{0} tyź.,,{0} ź,{0} d,{0} d,,{0} d,,{0} g,{0} g,{0} g,,{0} g,,{0} min,{0} min,{0} min,,{0} min,,{0} s,{0} s,{0} s,,{0} s
dua,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
dua,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
dyo,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
dyo,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
dz,wide,,,,,,བངུན་ཕྲག་ {0},,,,,,ཉིན་ཞག་ {0},,,,,,ཆུ་ཚོད་ {0},,,,,,སྐར་མ་ {0},,,,,,སྐར་ཆ་ {0}
dz,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ebu,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ebu,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ee,wide,,kɔsiɖa {0},,,,kɔsiɖa {0},,ŋkeke {0},,,,ŋkeke {0},,gaƒoƒo {0},,,,gaƒoƒo {0},,aɖabaƒoƒo {0},,,,aɖabaƒoƒo {0},,sekend {0} wo,,,,sekend {0} wo
ee,narrow,,kɔsiɖa {0},,,,kɔsiɖa {0},,ŋkeke {0},,,,ŋkeke {0},,gaƒoƒo {0},,,,gaƒoƒo {0},,a {0},,,,a {0},,s {0},,,,s {0}
ee-TG,wide,,kɔsiɖa {0},,,,kɔsiɖa {0},,ŋkeke {0},,,,ŋkeke {0},,gaƒoƒo {0},,,,gaƒoƒo {0},,aɖabaƒoƒo {0},,,,aɖabaƒoƒo {0},,sekend {0} wo,,,,sekend {0} wo
ee-TG,narrow,,kɔsiɖa {0},,,,kɔsiɖa {0},,ŋkeke {0},,,,ŋkeke {0},,gaƒoƒo {0},,,,gaƒoƒo {0},,a {0},,,,a {0},,s {0},,,,s {0}
el,wide,,{0} εβδομάδα,,,,{0} εβδομάδες,,{0} ημέρα,,,,{0} ημέρες,,{0} ώρα,,,,{0} ώρες,,{0} λεπτό,,,,{0} λεπτά,,{0} δευτερόλεπτο,,,,{0} δευτερόλεπτα
el,narrow,,{0} ε,,,,{0} ε,,{0} η,,,,{0} η,,{0} ώ,,,,{0} ώ,,{0} λ,,,,{0} λ,,{0} δ,,,,{0} δ
el-CY,wide,,{0} εβδομάδα,,,,{0} εβδομάδες,,{0} ημέρα,,,,{0} ημέρες,,{0} ώρα,,,,{0} ώρες,,{0} λεπτό,,,,{0} λεπτά,,{0} δευτερόλεπτο,,,,{0} δευτερόλεπτα
el-CY,narrow,,{0} ε,,,,{0} ε,,{0} η,,,,{0} η,,{0} ώ,,,,{0} ώ,,{0} λ,,,,{0} λ,,{0} δ,,,,{0} δ
en,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-001,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-001,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-150,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-150,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-AE,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-AE,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-AG,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-AG,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-AI,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-AI,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-AS,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-AS,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-AT,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-AT,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-AU,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-AU,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-BB,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-BB,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-BE,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-BE,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-BI,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-BI,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-BM,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-BM,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-BS,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-BS,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-BW,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-BW,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-BZ,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-BZ,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-CA,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-CA,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
en-CC,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-CC,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-CH,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-CH,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-CK,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-CK,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-CM,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-CM,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
